# Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
# 
1938,4.70,4.10,8.00,6.80,9.30,12.60,13.60,14.50,12.50,9.30,7.80,3.50
1939,3.00,4.80,5.00,7.30,10.10,12.90,13.90,15.00,13.00,7.50,7.20,2.80
1940,-1.10,2.00,4.80,7.20,11.20,14.90,13.60,14.10,11.40,8.70,5.80,3.30
1941,-0.20,2.30,3.90,5.50,8.20,13.30,15.40,13.40,13.50,9.30,5.60,4.90
1942,1.00,0.10,4.00,7.80,9.60,12.60,14.00,14.80,12.20,9.30,4.70,5.70
1943,3.90,5.20,5.90,9.10,10.30,12.90,14.60,14.00,11.80,9.80,5.50,3.40
1944,5.10,2.90,4.50,8.70,9.80,12.10,14.90,15.40,11.20,8.20,5.00,3.20
1945,-0.20,5.90,7.20,8.60,10.50,12.90,15.20,14.50,13.10,10.60,6.70,4.50
1946,2.50,4.80,4.50,8.50,9.50,11.80,14.50,13.20,12.60,8.70,6.90,2.60
1947,1.70,-2.10,2.10,7.20,11.40,13.70,15.20,17.00,13.30,9.90,6.00,4.30
1948,3.70,3.80,7.30,7.80,9.90,12.20,14.20,13.50,12.40,8.90,6.70,4.90
1949,4.50,4.80,4.30,8.60,9.70,13.40,15.60,15.20,14.60,10.60,5.90,4.70
1950,3.80,4.00,6.50,6.30,9.90,14.30,14.60,14.20,11.60,8.70,4.70,0.60
1951,2.90,2.60,3.20,5.50,8.70,12.20,14.70,13.50,12.80,9.20,7.20,4.60
1952,1.60,2.70,5.50,8.30,11.60,12.50,15.00,14.40,9.90,8.00,3.40,2.60
1953,3.20,3.80,5.10,6.10,11.20,12.90,14.10,14.60,12.80,9.20,7.50,6.00
1954,2.60,1.80,4.70,6.70,10.10,12.10,12.90,13.20,11.30,10.40,5.90,5.60
1955,1.80,0.30,2.60,8.20,8.40,12.30,15.90,16.40,13.10,8.20,6.50,4.50
1956,2.60,-0.20,5.20,5.70,10.50,11.70,14.20,12.10,12.90,8.70,5.60,5.20
1957,4.50,3.90,7.90,7.60,9.20,13.40,14.70,14.00,11.20,9.60,5.70,3.80
1958,2.50,3.50,2.60,6.40,9.40,12.30,14.40,14.40,13.80,9.80,5.90,3.70
1959,0.90,3.80,6.20,8.00,11.20,13.50,15.40,15.70,13.50,11.40,6.20,4.80
1960,3.10,2.60,5.30,8.00,11.40,14.40,13.80,13.70,11.90,9.30,6.00,2.90
1961,2.70,5.80,7.20,8.40,9.70,12.80,13.60,13.90,13.50,9.60,5.20,1.60
1962,3.50,3.70,1.80,6.50,8.90,12.20,13.20,13.00,11.40,9.60,4.70,2.00
1963,-1.90,-1.10,4.90,7.20,9.10,13.30,13.50,12.90,11.70,9.70,6.60,2.30
1964,3.20,3.70,3.60,7.50,11.50,12.30,14.30,13.80,12.60,8.00,6.40,2.70
1965,2.40,2.60,4.10,6.90,10.00,12.80,12.50,13.40,11.20,9.80,3.60,3.30
1966,2.10,4.00,5.60,5.80,9.70,13.80,13.50,13.20,12.70,8.90,4.50,4.10
